DE_00134	chr12	57140602	57140800	Abdominal aortic aneurysm	LRP1
DE_00805	chr3	128201711	128202310	Acute lung injury	GATA2
DE_00003	chr3	187602695	187702695	Acute lymphoblastic leukemia	BCL6
DE_00007	chr3	187800876	187841876	Acute lymphoblastic leukemia	BCL6
DE_00008	chr3	187951516	187966329	Acute lymphoblastic leukemia	BCL6
DE_00035	chr3	187777802	187780400	Acute lymphoblastic leukemia	BCL6
DE_00036	chr3	187781802	187783600	Acute lymphoblastic leukemia	BCL6
DE_00037	chr3	187784002	187785200	Acute lymphoblastic leukemia	BCL6
DE_00038	chr3	187785402	187786600	Acute lymphoblastic leukemia	BCL6
DE_00039	chr3	187787202	187787400	Acute lymphoblastic leukemia	BCL6
DE_00040	chr3	187789602	187790200	Acute lymphoblastic leukemia	BCL6
DE_00041	chr3	187790202	187790800	Acute lymphoblastic leukemia	BCL6
DE_00042	chr3	187793202	187796600	Acute lymphoblastic leukemia	BCL6
DE_00043	chr3	187798802	187801400	Acute lymphoblastic leukemia	BCL6
DE_00044	chr3	187801802	187802000	Acute lymphoblastic leukemia	BCL6
DE_00045	chr3	187802002	187804000	Acute lymphoblastic leukemia	BCL6
DE_00046	chr3	187806802	187811600	Acute lymphoblastic leukemia	BCL6
DE_00047	chr3	187811602	187811800	Acute lymphoblastic leukemia	BCL6
DE_00048	chr3	187813202	187813600	Acute lymphoblastic leukemia	BCL6
DE_00049	chr3	187815202	187816400	Acute lymphoblastic leukemia	BCL6
DE_00050	chr3	187817602	187818600	Acute lymphoblastic leukemia	BCL6
DE_00118	chr10	6054802	6063200	Acute lymphoblastic leukemia	IL2RA
DE_00019	chr11	8288480	8290480	Acute lymphoblastic leukemia	LMO1
DE_00005	chr3	187443146	187468463	Acute lymphoblastic leukemia	MYC
DE_00006	chr8	128857956	128964803	Acute lymphoblastic leukemia	MYC
DE_00127	chr8	128063002	128066600	Acute lymphoblastic leukemia	MYC
DE_00170	chr8	127179736	127181736	Acute lymphoblastic leukemia	MYC
DE_00277	chr8	128173002	128176800	Acute lymphoblastic leukemia	MYC
DE_00577	chr3	179167707	179169707	Acute lymphoblastic leukemia	PIK3CA
DE_00491	chr1	47686518	47715001	Acute lymphoblastic leukemia	TAL1
DE_00716	chr19	29804946	29806946	Acute myelocytic leukemia	CCNE1
DE_00314	chr9	134250000	134270000	Acute myelocytic leukemia	GFI1
DE_00315	chr9	135460000	135540961	Acute myelocytic leukemia	GFI1
DE_00313	chr6	163964037	164018687	Acute myelocytic leukemia	MYB
DE_00001	chr21	47819654	47820374	Acute myeloid leukemia	ERG
DE_00075	chr3	128291911	128293310	Acute myeloid leukemia	EVI1
DE_00796	chr2	219965238	219974238	Adenylosuccinate lyase deficiency	IHH
DE_00722	chr5	134769599	134772144	Adenylosuccinate lyase deficiency	PITX1
DE_00427	chr12	114701207	114704691	Adolescent idiopathic scoliosis	TBX5
DE_00324	chr10	64201343	64202560	Adult-onset demyelinating leukodystrophy	EGR2
DE_00317	chr3	128320778	128328914	Adult-onset demyelinating leukodystrophy	EVI1
DE_00316	chr7	101129817	101130058	Adult-onset demyelinating leukodystrophy	SHH
DE_00797	chr2	219965238	219974238	Advanced liver disease	IHH
